City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
518,rio gallegos,-51.6226,-69.2181,17.03,77,75,6.17,AR,1675558377
519,nome,64.5011,-165.4064,-9.96,85,100,3.09,US,1675558620
520,marzuq,14.4,46.4667,16.71,64,93,0.69,YE,1675558620
521,meulaboh,4.1363,96.1285,24.2,83,100,1.47,ID,1675558072
522,karatau,43.1667,70.4667,2.49,92,100,4.74,KZ,1675558622
523,hurghada,27.2574,33.8129,12.02,47,0,3.09,EG,1675558624
524,vrises,35.492,23.8899,12.88,68,48,9.78,GR,1675558628
525,kontagora,10.3999,5.4695,25.93,16,69,2.82,NG,1675558629
526,lhokseumawe,5.1801,97.1507,24.36,89,93,2.26,ID,1675558630
527,saint-denis,48.9167,2.3333,8.46,76,100,3.09,FR,1675558631
528,petropavlovsk-kamchatskiy,53.0452,158.6483,-12.67,67,75,2.0,RU,1675558632
529,boende,-0.2167,20.8667,24.61,75,100,1.73,CD,1675558635
530,koshurnikovo,54.1667,93.3,-19.25,99,100,0.98,RU,1675558641
531,medeiros neto,-17.3739,-40.2206,24.24,84,12,3.48,BR,1675558642
532,waipawa,-41.4122,175.5153,24.9,56,100,3.58,NZ,1675558256
533,otane,-39.8833,176.6333,24.45,52,62,4.18,NZ,1675558645
534,lixourion,38.2019,20.4314,10.25,58,84,15.42,GR,1675558296
535,tabou,4.423,-7.3528,25.55,87,23,2.94,CI,1675558648
536,yuli,9.6989,10.2744,23.64,21,100,2.45,NG,1675558652
537,laguna,38.421,-121.4238,13.43,86,100,5.66,US,1675558481
538,puerto madero,14.7208,-92.4215,26.67,62,0,0.42,MX,1675558653
539,ust-kulom,61.6864,53.6902,-21.8,100,100,1.08,RU,1675558654
540,norashen,39.9996,44.5895,-3.26,71,100,0.39,AM,1675558654
541,lavrentiya,65.5833,-171.0,-22.43,91,94,3.2,RU,1675558202
